Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,43.54967778,102.0024083,Potato Creek ,1998,,H,,,,,,,,,,,,,,,,,,,,,,,400,9.3,0.41,27,0,0,0.1,0.15,0.015,0,0,0,0,0.72,0,0.06,0,0,,0,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,43.54967778,102.0024083,Potato Creek ,1999,,H,,,,,8/11/99,11:20am,"8""/4""",0.7,4,2.666666667,6,24.65,8.48,7.61,10.66,5.58,21.6,,,,,,370,60,0.5,30,0.05,0,0.29,0.31,0.013,0.04,0,0,0,0.69,0,0.03,0,0,0,0,129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,43.54967778,102.0024083,Potato Creek ,1999,,L,,,,,12/15/99,3:07pm,"1'/3'1""",1.0,3.1,3.1,3.1,,7.61,810,,3.0,8.5,,,,,,286,6,0.4,16,0,0.55,0.16,0.17,0.006,0.12,0,0,0,0.55,0,0.03,0,0,0,0,55,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,43.54967778,102.0024083,Potato Creek ,2000,,H,,,,,,,,,,,,,,,,,,,,,,,413,11,0.4,35,0,0,0.27,0.29,0.011,0,0,0,0,0.22,0,0.01,0,0,0,0,138,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,43.54967778,102.0024083,Potato Creek ,2000,,L,,,,,,,,,,,,,,,,,,,,,,,378,12,0.4,30,0,0.28,0.11,0.11,0.009,0,0,0,0,0.33,0,0.01,0,0,0,0,157,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,43.54967778,102.0024083,Potato Creek ,2004,,H,,,,,,,,,,,,,,,,,,,,,,,380,6.9,0.57,21,0,0,0.1,0.16,0.01,0.12,0,0,0,2.5,0,0.11,0,0,0,0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,43.54779722,102.1381278,Red Water Creek,1993,,H,,,,,6/10/93,,"6""/---",0.5,,,,27.5,9.01,640,,0.93,,,,,,,314,6,0.28,32,0,0,0.184,0.23,0.007,0.140,0,0,0,0.76,0,0.02,0,0,0.002,0,125,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,43.54779722,102.1381278,Red Water Creek,1993,,L,,,,,12/10/93,,"1'6""/2'",1.5,2,3,1.333333333,0,8.43,,10.44,1.89,22.9,,,,,,382,10,0.35,39,0,0,0.077,0.13,0,0.13,0,0.008,0,1.63,0,0.02,0,0,0,0.0035,139,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,43.54779722,102.1381278,Red Water Creek,1994,,H,,,,,8/25/94,,"9""/2'",0.8,2,1.5,2.666666667,23,8.9,550,10.73,0.34,12.33,,,,,,386,26,0.36,35,0.1,0,0.065,0.085,0.006,0,0.006,,0,0.3,0,0,0.0026,,,,171,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,43.54779722,102.1381278,Red Water Creek,1995,,H,,,,,6/15/95,11:57am,"10""/1'",0.8,1,0.833333333,1.2,,,,,,2,,,,,,388,8,0.41,52,0,0,0.205,0.215,0.009,0.07,0,,0,0.37,0,0.03,0.0009,,,,142,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,43.54779722,102.1381278,Red Water Creek,1995,,L,,,,,10/3/95,1:30pm,"8""/9'",0.7,9,6,13.5,10.77,8.47,892,11.89,0.53,6.7,,,,,,384,15,0.29,37,0,0,0.073,0.08,0.005,0.11,0,,0,0.2,0,0,0,,,,156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,43.54779722,102.1381278,Red Water Creek,1996,,H,,,,,6/18/96,10:49am,"9.5""/5'6""",0.8,5.5,4.354166667,6.947368421,20.18,9.84,874,1.5,1.5,4.8,,,,,,410,7,0.4,29,0,0,0.12,0.15,0.01,0.103,0,,0,0.16,0,0,0,,,,169,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,43.54779722,102.1381278,Red Water Creek,1997,,H,,,,,6/16/97,12:59pm,"2'/4'7""",2.0,4.6,9.2,2.3,23.01,8.91,862,4.71,1.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,43.54779722,102.1381278,Red Water Creek,1997,,L,,,,,10/6/97,12:56pm,1'/3',1.0,3,3,3,15.71,9.61,836,6.78,3.2,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,43.54779722,102.1381278,Red Water Creek,1998,,H,,,,,,,,,,,,,,,,,,,,,,,390,13,0.39,39,0,0,0.13,0.2,0.017,0.1,0,0,0,1.7,0,0.07,0,0,,0,170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,43.54779722,102.1381278,Red Water Creek,1999,,H,,,,,7/9/99,11:52am,"9'2""/2'10""",0.8,2.9,2.223333333,3.782608696,21.52,8.45,781,12.69,9.52,5,,,,,,370,10,0.5,40,0,0,0.25,0.27,0.014,0.12,0,0,0,0.25,0,0.01,0,0,0,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,43.54779722,102.1381278,Red Water Creek,1999,,L,,,,,12/15/99,11:19am,"1'4""/3'4""",1.3,3.4,4.533333333,2.55,-0.1,6.53,830,1.93,5.8,25.7,,,,,,442,11,0.4,52,0,0.18,0.21,0.26,0.013,0.16,0,0,0,1.47,0,0.09,0,0,0,0,166,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,43.54779722,102.1381278,Red Water Creek,2000,,L,,,,,,,,,,,,,,,,,,,,,,,406,15,0.5,46,0,0.27,0.25,0.3,0.011,0,0,0,0,2.4,0,0.12,0,0,0,0,160,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,43.54779722,102.1381278,Red Water Creek,2004,,H,,,,,,,,,,,,,,,,,,,,,,,400,9.3,0.51,27,0,0,0.08,0.12,0.01,0.1,0,0,0,0.47,0,0.04,0,0,0,0,157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,42.987625,102.5588861,White Clay Creek I,1993,,H,,,,,6/2/93,8:45am,"1.5'/9'2""",1.5,9.2,13.8,6.133333333,15,8.14,389,8.83,0.97,10.9,,,,,,220,6,0.38,24,1.33,0.025,0.162,0.245,0,0.211,0,0.011,0.005,2.49,0,0.09,0.0028,0.008,0,0,22,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,42.987625,102.5588861,White Clay Creek I,1993,,L,,,,,11/17/93,,"2.9""/10'",0.3,10,2.5,40,0.4,7.31,282,1.86,1.01,4.97,,,,,,238,11,0.38,24,0.99,0,0.016,0.042,0,0.14,0,0.011,0,0.3,0,0,0,0,<.002,<.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,42.987625,102.5588861,White Clay Creek I,1994,,H,,,,,6/7/94,,"1'9""/9'11""",1.8,9.9,17.325,5.657142857,17.7,7.83,145,3.94,0.24,0.17,,,,,,214,17,0.36,25,0,0.03,0.019,0.068,0,0.12,0,,0,0.23,0.005,0.03,0,,,,28,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,42.987625,102.5588861,White Clay Creek I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,236,20,0.46,29,0.6,0.03,0.067,0.103,0,0.18,0.012,,0,1.28,0,0.03,0.0045,,,,28,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,42.987625,102.5588861,White Clay Creek I,1995,,H,,,,,5/4/95,9:45am,"1.5'/9'6""",1.5,9.5,14.25,6.333333333,6.8,8.61,52.9,9.94,1.52,0.6,,,,,,230,6,0.35,24,0.6,0,0.018,0.028,0,0.175,0,,0,0.1,0,0,0.0006,,,,24,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,42.987625,102.5588861,White Clay Creek I,1995,,L,,,,,9/28/95,10:11am,2.3'/8.1',2.3,8.1,18.225,3.6,11.34,8.22,559,8.3,1.2,1.57,,,,,,238,11,0.36,25,0.85,0,0.035,0.037,0,0.19,0,,0.008,0.39,0.009,0,0.0008,,,,28,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,42.987625,102.5588861,White Clay Creek I,1996,,H,,,,,5/15/96,9:24am,"2'6""/8;4""",2.5,8.4,21,3.36,16.27,9.35,527,7,1.3,9.75,,,,,,220,6,0.4,25,0.4,0,0.03,0.03,0.005,0.15,0,,0.006,0.45,0,0.04,0.0002,,,,27,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,42.987625,102.5588861,White Clay Creek I,1996,,H,,,,,9/9/96,10:14am,"2'3""/8'9""",0.0,,,,15.5,10.27,546,1.47,0.7,27.6,,,,,,230,6,0.4,24,0.9,0,0.07,0.08,0.006,0.201,0,,0,0.32,0.004,0,0.0002,,,,23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,42.987625,102.5588861,White Clay Creek I,1997,,H,,,,,6/4/97,8:47am,"3'2""/10'",3.2,10,31.66666667,3.157894737,14.46,8.01,570,7.11,1.2,97.7,,,,,,252,2,0.4,50,0.88,0.88,0.4,0.34,0.008,0.2,0,,0,3.1,0.005,0.17,0,0,,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,42.987625,102.5588861,White Clay Creek I,1997,,L,,,,,10/1/97,11:19am,"2'5""/8'6""",2.4,8.5,20.54166667,3.517241379,11.84,9,539,5.42,1.05,14.3,,,,,,244,5,0.37,26,1.1,1.1,0.05,0.05,0.005,0.17,0,0,0,0.37,0,0.02,0,0,,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,42.987625,102.5588861,White Clay Creek I,1998,,H,,,,,,,,,,,,,,,,,,,,,,,240,6.7,0.39,28,0.69,0.69,0.04,0.05,0.005,0.2,0,0,0,0.56,0,0.05,0,0,,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,42.987625,102.5588861,White Clay Creek I,1999,,H,,,,,8/12/99,2:31pm,"1'10""/9'",1.8,9,16.5,4.909090909,19.63,8.32,507,9.17,5.02,15.6,,,,,,190,6,1.3,29,0,0.47,0.15,0.17,0.006,0.18,0,0,0,0.88,0.002,0.03,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,42.987625,102.5588861,White Clay Creek I,2000,,H,,,,,,,,,,,,,,,,,,,,,,,240,5,0.5,32,0.97,0,0.07,0.07,0,0.1,0,0,0,0.16,0,0.01,0,0,0,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,42.987625,102.5588861,White Clay Creek I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,256,11,0.3,31,0,0.81,0.22,0.23,0.006,0.2,0,0,0,2.02,0,0.09,0,0,0,0,27,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,43.09414167,102.6024917,White Clay Creek II,1993,,H,,,,,5/2/93,10:50am,"1.37'/9'2""",1.3,9.1,12.13333333,6.825,16,8.25,372,9.76,0.85,,,,,,,196,7,0.39,24,0.14,0.021,0.085,0.125,0.005,0.181,0,0.013,0,1.4,0,0.06,0.0007,0,0,0,24,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,43.09414167,102.6024917,White Clay Creek II,1993,,L,,,,,11/17/93,,"2.2""/15'",2.2,15,2.5,6.818181818,0.4,7.62,565,1.83,0.75,4.32,,,,,,215,13,0.38,31,0,0,0.017,0.02,0,0.13,0,0.013,0,0.11,0.008,0.03,0,0,0,0,27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,43.09414167,102.6024917,White Clay Creek II,1994,,H,,,,,6/7/94,1:45pm,"3'/15'6""",3.0,15.5,46.5,5.166666667,24.3,8.82,,5.33,0.33,,,,,,,218,19,0.37,45,0.24,0,0.129,0.181,0,0.13,0,,0,0.26,0,0.06,0,,,,36,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,43.09414167,102.6024917,White Clay Creek II,1994,,L,,,,,,,,,,,,,,,,,,,,,,,194,34,0.42,57,0.57,0.017,0.248,,0,0.2,0.011,,0,1.72,0,0.07,0.001,,,,39,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,43.09414167,102.6024917,White Clay Creek II,1995,,H,,,,,5/4/95,11:00am,1.6'/9',1.6,9,14.25,5.684210526,9.6,8.85,47.8,10.95,0.95,18.3,,,,,,202,9,0.35,33,0.25,0.024,0.051,0.086,0,0.182,0,,0,0.31,0,0.04,0.0005,,,,31,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,43.09414167,102.6024917,White Clay Creek II,1995,,L,,,,,9/28/95,11:01am,1.5'/10.5',1.5,10.5,15.75,7,12.18,8.21,508,8.59,1.83,23.6,,,,,,200,18,0.35,34,0.3,0.01,0.068,0.091,0,0.17,0,,0,0.52,0,0.03,0.002,,,,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,43.09414167,102.6024917,White Clay Creek II,1996,,H,,,,,5/16/96,2:00pm,"12'4""/12'4""",0.0,,,,22.85,9.87,519,7.9,1.5,29.7,,,,,,204,9,0.4,35,0.01,0,0.11,0.13,0.006,0.187,0,,0.006,0.95,0,0.07,0.001,,,,32,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,43.09414167,102.6024917,White Clay Creek II,1996,,H,,,,,9/9/96,11:06am,"1'10""/10""",1.8,10,18.33333333,5.454545455,17.25,10.3,478,1.2,0.6,31.7,,,,,,180,9,0.4,28,0.2,0,0.07,0.11,0.007,0.189,0,,0.016,0.38,0.003,0,0,,,,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,43.09414167,102.6024917,White Clay Creek II,1997,,H,,,,,6/4/97,9:41am,"2'8""/24'",2.7,24,64,9,17,7.91,532,6.47,1.8,125,,,,,,205,6,0.38,50,0.34,0.34,0.35,0.22,0.007,0.2,0,,0,2.9,0.006,0.17,0.0002,0,,0,22,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,43.09414167,102.6024917,White Clay Creek II,1997,,H,,,,,8/21/97,,"1'8""/13'",1.7,13,21.66666667,7.8,21.6,8.8,529,4.52,1.3,62.4,,,,,,219,7,0.37,42,0.16,0.16,0.04,0.05,0.006,0.16,0,0,0,0.37,0,0.02,0,0,,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,43.09414167,102.6024917,White Clay Creek II,1998,,H,,,,,,,,,,,,,,,,,,,,,,,220,8.9,0.39,39,0.07,0.07,0.07,0.1,0.008,0.2,0,0,0,1.4,0,0.09,0,0,,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,43.09414167,102.6024917,White Clay Creek II,1999,,H,,,,,6/29/99,10:57am,"13""/13'7""",1.1,13.7,14.84166667,12.64615385,18.74,7.76,532,8.94,7.9,42.3,,,,,,212,8,0.63,49,0,0.17,0.29,0.29,0.008,0.19,0,0,0,2.55,0.003,0.31,0,0,0,0,34,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,43.09414167,102.6024917,White Clay Creek II,2000,,L,,,,,,,,,,,,,,,,,,,,,,,238,9,0.5,57,0.43,0,0.04,0.04,0,0.1,0,0,0,0.12,0,0.01,0,0,0,0,31,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,43.20444167,102.7979972,White Clay Creek III,1993,,H,,,,,6/9/93,,"1'6""/---",1.5,,,,13,8.14,520,1.61,1.63,,,,,,,292,10,0.35,63,0,0,0.36,0.365,0,0.156,0,0.009,0,0.62,0,0.07,0.0012,0,0,0,74,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,43.20444167,102.7979972,White Clay Creek III,1993,,L,,,,,11/17/93,,"4.2""/12'",0.3,12,4,36,0.5,8.6,381,10.71,1.77,3.47,,,,,,294,21,0.36,17,0,0,0.15,0.2,0,0.13,0,0.007,0,0.08,0,0.03,0,0,0,0,65,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,43.20444167,102.7979972,White Clay Creek III,1994,,H,,,,,,,,,,,,,,,,,,,,,,,482,50,0.44,128,0,0,0.164,0.204,0.007,0.22,0,,0,0.73,0.005,0.27,0,,,,184,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,43.20444167,102.7979972,White Clay Creek III,1995,,H,,,,,5/25/95,1:45pm,"1'/7'3""",1.0,7.3,7.3,7.3,14.1,8.76,140.6,9.28,,0.7,,,,,,430,44,0.57,201,0,0,0.33,0.338,0.017,0.14,0,,0,0.65,0,0.03,0.0009,,,,152,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,43.20444167,102.7979972,White Clay Creek III,1995,,L,,,,,9/28/95,12:40pm,1'/7',1.0,7,7,7,11.23,8.24,741,8.75,1.03,13.8,,,,,,274,14,0.4,66,0,0,0.08,0.095,0,0.18,0,,0,0.31,0,0.03,0.002,,,,69,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,43.20444167,102.7979972,White Clay Creek III,1996,,H,,,,,5/16/96,2:29pm,"2'5""/8'5""",2.4,8.4,20.3,3.475862069,21.27,9.23,670,7.4,1.9,3.98,,,,,,280,9,0.04,45,0,0,0.13,0.14,0.007,0.206,0.011,,0,0.21,0,0.1,0.0003,,,,61,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,43.20444167,102.7979972,White Clay Creek III,1996,,L,,,,,9/30/96,10:44am,"1'5""/7'6""",1.4,7.5,10.625,5.294117647,9.8,10.3,847,1.84,1.3,9.5,,,,,,317,19,0.4,61,0,0,0.08,0.1,0.006,0.469,0,,0.013,0.5,0,0.05,0.0002,,,,84,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,43.20444167,102.7979972,White Clay Creek III,1997,,H,,,,,6/27/97,9:55am,"3'3""/20'",3.3,20,65,6.153846154,19.8,7.4,560,2.68,2.4,5.2,,,,,,240,4,0.38,32,0,0,0.15,0.16,0.006,0.2,0,0,0,0.24,0,0.06,0.0003,0,,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,43.20444167,102.7979972,White Clay Creek III,1997,,L,,,,,10/1/97,1:20pm,"1'6""/7'8""",1.5,7.7,11.55,5.133333333,12.88,8.99,607,4.65,1.02,19.4,,,,,,242,11,0.38,48,0,0,0.08,0.09,0.005,0.16,0,0,0,0.64,0,0.07,0,0,,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,43.20444167,102.7979972,White Clay Creek III,1998,,H,,,,,,,,,,,,,,,,,,,,,,,277,15,0.43,51,0,0,0.06,0.07,0.007,0.2,0,0,0,0.54,0,0.08,0,0,,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,43.20444167,102.7979972,White Clay Creek III,1999,,H,,,,,8/17/99,11:29am,"7""/5'",0.6,5,2.916666667,8.571428571,19.15,7.86,602,9.93,5.65,25.2,,,,,,262,11,0.5,46,0,0,0.18,0.2,0.006,0.19,0,0,0,1.21,0,0.12,0,0,0,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,43.20444167,102.7979972,White Clay Creek III,2000,,H,,,,,,,,,,,,,,,,,,,,,,,250,17,0.5,100,0,0,0.06,0.07,0.006,0,0,0,0,0.08,0,0,0,0,0,0,71,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,43.20444167,102.7979972,White Clay Creek III,2000,,L,,,,,,,,,,,,,,,,,,,,,,,264,14,0.5,70,0,0,0.07,0.08,0.006,0.5,0.03,0,0.05,42.6,0,0.86,0,0.03,0,0,53,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,43.02743889,102.8340639,White River I,1993,,H,,,,,5/2/93,2:10pm,1.5'/19',1.5,19,28.5,12.66666667,18.8,8.4,790,10.5,1.44,78.1,,,,,,91,3,0.15,100,0.13,0.051,0.213,0.61,0.068,0.237,0,0.045,0.019,24.2,0.022,0.36,0.0008,0.028,0,0,40,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,43.02743889,102.8340639,White River I,1993,,L,,,,,12/8/93,,"2'6""/18'",2.5,18,45,7.2,0,8.53,569,12.87,1.4,69.7,,,,,,236,13,0.57,98,0.8,0,0.06,0.16,0,0.09,0,0.007,0,1.86,0,0.06,0,0,0,0.0044,68,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,43.02743889,102.8340639,White River I,1994,,H,,,,,6/13/95,10:45am,1'/19.9',1.0,19.9,19.9,19.9,22.5,,108,5.38,0.33,4.93,,,,,,244,18,0.52,140,0,0,0.025,0.302,0.011,0.18,0.007,,0,3.39,0.007,0.16,0,,,,88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,43.02743889,102.8340639,White River I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,232,32,0.56,226,0,0,0.098,0.108,0,0.17,0.019,,0,1.78,0,0.15,0.0011,,,,115,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,43.02743889,102.8340639,White River I,1995,,H,e,,,,5/12/95,,,,,,,,,,,,,,,,,,242,11,0.58,115,0.42,0,0.113,0.325,0.018,0.199,0.006,,0.007,4.85,0.006,0.23,0.0004,,,,65,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,43.02743889,102.8340639,White River I,1995,,L,,,,,9/28/95,11:51am,1.7'/22.5',1.6,22.5,35.625,14.21052632,12.09,8.37,1.71,8.59,1.83,70.2,,,,,,248,19,0.52,542,0.24,0,0.02,0.07,0,0.34,0,,0,1.51,0,0.05,0.0007,,,,194,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,43.02743889,102.8340639,White River I,1996,,H,,,,,5/15/96,10:42am,"1'10""/2'2""",1.8,2.2,4.033333333,1.2,17.96,9.74,1.38,7.7,1.5,189.5,,,,,,270,22,0.5,380,0,0,0.095,0.25,0.01,0.315,0.01,,0.025,7.5,0.005,0.2,0.0004,,,,168,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,43.02743889,102.8340639,White River I,1996,,L,,,,,9/30/96,10:00am,"2""/22.1""",2.0,22.1,44.2,11.05,11.39,10.6,653,1.68,2.3,,,,,,,228,8,0.5,74,0,0,0.01,0.09,0.008,0.199,0.01,,0.013,3.18,0.01,0.07,0.000455,,,,55,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,43.02743889,102.8340639,White River I,1997,,H,,,,,6/10/97,10:51am,"3'4""/22'9""",3.3,22.8,76,6.84,19.82,8.16,810,3.88,2.4,266,,,,,,234,9,0.44,165,0.25,0.25,0.67,0.43,0.013,0.3,0.01,0,0.01,11,0.011,0.38,0.0007,0,,0,85,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,43.02743889,102.8340639,White River I,1997,,L,,,,,10/1/97,10:10am,"13""/19'",1.1,19,20.58333333,17.53846154,12.27,9.19,90,5.96,1.06,37.4,,,,,,254,10,0.5,195,0,0,0.06,0.07,0.007,0.15,0,0,0,0.97,0,0.07,0,0,,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,43.02743889,102.8340639,White River I,1998,,H,,,,,,,,,,,,,,,,,,,,,,,256,14,0.59,157,0,0,0.07,0.07,0.006,0.1,0,0,0,2.9,0.004,0.1,0,0,,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,43.02743889,102.8340639,White River I,1999,,H,,,,,6/23/99,12:07pm,"1'8""/21'2""",1.7,21.2,35.33333333,12.72,21.1,7.97,974,8.53,10.7,177.6,,,,,,247,7,0.78,253,0,0.37,0.68,0.66,0.008,0.26,0,0,0,9.89,0.005,0.28,0.0003,0,0,0,109,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
