Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,43.25686944,101.6949944,Bear Creek II,1996,,H,,,,,5/29/96,10:03am,"1'2""/11'10""",1.0,11.9,11.9,11.9,11.21,9.37,549,7.1,4.3,60.5,,,,,,230,6,0.5,26,0.29,0,0.150,0.25,0,0.209,0,,0.012,0.49,0,0.14,0,,,,33,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,43.25686944,101.6949944,Bear Creek II,1996,,L,,,,,10/1/96,12:47pm,"10""/13'",0.8,13,10.83333333,15.6,14.18,10.42,479,12.7,2.1,10.1,,,,,,207,3,0.4,18,0.00,0,0.040,0.07,0.008,0.208,0,,0.01,0.56,0,0.04,0,,,,37,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,43.25686944,101.6949944,Bear Creek II,1997,,H,,,,,6/27/97,12:15pm,"1'1""/9'",1.1,9,9.75,8.307692308,21.15,7.9,519,2.43,2.2,42.1,,,,,,242,4,0.47,24,0.27,0.27,0.210,0.22,0.012,0.200,0,0,0,1.70,0.002,0.1,0.0003,0,,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43.25686944,101.6949944,Bear Creek II,1997,,L,,,,,10/10/97,11:05am,"1'8""/11'",1.7,11,18.33333333,6.6,10.78,8.44,488,2.85,0.37,17.7,,,,,,224,4,0.48,22,0.05,0.05,0.110,0.12,0.008,0.170,0,0,0,0.40,0.002,0.03,0,0,,0,37,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43.25686944,101.6949944,Bear Creek II,1998,,H,,,,,,,,,,,,,,,,,,,,,,,340,22,0.43,106,0.00,0,0.100,0.15,0.008,0.000,0,0,0,1.80,0.003,0.08,0,0,,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,43.25686944,101.6949944,Bear Creek II,1999,,H,,,,,8/12/99,11:55am,"2'/16'5""",1.2,16.5,19.25,14.14285714,21.44,8.14,444,8.14,5.2,33.6,,,,,,210,7,0.5,24,0.00,0.23,0.270,0.27,0.011,0.190,0,0,0,2.30,0.002,0.12,0,0,0,0,30,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,43.25686944,101.6949944,Bear Creek II,2000,,L,,,,,,,,,,,,,,,,,,,,,,,196,2,0.5,18,0.18,0,0.110,0.14,0.008,0.000,0,0,0,0.35,0,0.05,0,0,0,0,28,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,43.25686111,101.6949944,Bear Creek III,1993,,H,,,,,6/30/93,10:15am,"1'2""/6""",1.2,6,7,5.142857143,19,7.65,543,9.85,2.12,,,,,,,231,5,0.46,33,0.3,0.021,0.246,0.579,0.040,0.16,0.0007,0.024,0.011,9.2,0.006,0.41,0.0015,0.007,0,0,58,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,43.25686111,101.6949944,Bear Creek III,1993,,L,,,,,11/30/93,11:25am,"2'9""/7'",2.8,7,19.25,2.545454545,,7.6,290,13.64,1.44,10.84,,,,,,250,4,0.44,24,0,0,0.114,0.181,0.000,0.14,0,0.006,0,0.22,0,0,0,0,0.002,0.14,50,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,43.25686111,101.6949944,Bear Creek III,1994,,H,,,,,6/16/94,1:05pm,"3'11""/10'7""",3.9,10.8,42.3,2.757446809,17.5,8.24,140,7.1,0.24,,,,,,,262,12,0.52,29,0,0,0.176,0.254,0.007,0.21,0,,0.005,2.85,0,0.18,0,,,,54,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
